id,config.pre_lr,config.pre_weight_decay,config.pre_dropout,config.lr,config.weight_decay,config.dropout,config.hidden_size,results.fine_tune.local.mae.train.mean,results.fine_tune.local.mae.train.std,results.fine_tune.local.mae.val.mean,results.fine_tune.local.mae.val.std,results.fine_tune.local.mae.test.mean,results.fine_tune.local.mae.test.std,results.fine_tune.local.rmse.train.mean,results.fine_tune.local.rmse.train.std,results.fine_tune.local.rmse.val.mean,results.fine_tune.local.rmse.val.std,results.fine_tune.local.rmse.test.mean,results.fine_tune.local.rmse.test.std,results.fine_tune.structure.mae.train.mean,results.fine_tune.structure.mae.train.std,results.fine_tune.structure.mae.val.mean,results.fine_tune.structure.mae.val.std,results.fine_tune.structure.mae.test.mean,results.fine_tune.structure.mae.test.std,results.fine_tune.structure.rmse.train.mean,results.fine_tune.structure.rmse.train.std,results.fine_tune.structure.rmse.val.mean,results.fine_tune.structure.rmse.val.std,results.fine_tune.structure.rmse.test.mean,results.fine_tune.structure.rmse.test.std,metadata._time.start,metadata._time.end,metadata.search-mode
221122-131414-0748-rare-show,0.0115478198468945,0.0007742636826811,0.3399999999999999,0.0009186269540704,1.3819612567338275e-05,0.0029585798816568,55,0.3073690646416796,0.0196097632793876,0.3091107958089659,0.0213466521034878,0.3087223952685227,0.0195482222517555,0.3984117300959134,0.0250800244560841,0.4010484099184281,0.0278562524016443,0.3999598183514715,0.0243590896550371,1.6849522076385577,0.2421583097695098,2.7605767430072303,0.212392217187249,2.7889017952013213,0.2291201193501014,2.164923846028023,0.3126351209521611,3.5203912035669847,0.3084698270201839,3.583366494273405,0.3596561652793434,1669122854.076113,1669123896.98175,random
221122-131414-0751-oily-meat,0.0014855080171727,0.0197831888278416,0.344,0.0007222710471031,0.0007516801086146,0.4674556213017751,391,0.4522343559531173,0.017384122019957,0.4526444728909369,0.017651978425536,0.4527186946951597,0.0191422132526572,0.588685911230375,0.0267576857608144,0.5887030752510816,0.0258922307216811,0.5889536662807057,0.0275603372744907,1.9305906307653724,0.6101343876451505,2.8591271706094377,0.3982673895053411,2.900871533966776,0.4410740530646083,2.476690542517502,0.7321577224141912,3.591784874692712,0.4901431241646599,3.670259611453999,0.4977378445038884,1669122854.076368,1669124828.812084,random
221122-131414-0921-flat-zone,0.0014855080171727,0.0197831888278416,0.344,0.0007222710471031,0.0007516801086146,0.4674556213017751,391,0.4463681572028998,0.0154424079296006,0.4478293624149732,0.0176029527867103,0.4469098455370594,0.0177543851228584,0.5816390635323652,0.0232747880119423,0.5830208449145039,0.0235782301316259,0.5827822754078589,0.0253889984297452,2.107952797936984,0.5854910011165557,2.975733511860085,0.356223686390871,2.888030135252869,0.3050509734635196,2.681906359576708,0.734491650805841,3.763382705370401,0.458549775873623,3.704078273793479,0.3680157628266748,1669122854.093658,1669124907.142034,random
221122-131414-0930-loud-type,0.0006978305848598,2.782559402207126e-06,0.36,0.0007643179926026,0.0073751115763683,0.1952662721893491,82,0.2668863515018741,0.015188813484826,0.2666899764485455,0.014112278166312,0.2673924703620775,0.015595974656328,0.3462297784145755,0.0194333580716856,0.3466551713061501,0.0184948036281767,0.3471164966186423,0.0207432606847017,1.6792114766899318,0.2278829128476308,2.4416602295466663,0.2130772272157152,2.434877342098077,0.1716117177505515,2.126332685243054,0.2894363719207907,3.103416061886663,0.2662708304295346,3.0946614537920647,0.2017682381098258,1669122854.094317,1669124819.2398,random
221122-131414-0931-dull-life,0.00045315836376,0.0001185971012337,0.304,0.0005291074560361,0.0023545115567287,0.0828402366863905,179,0.2908757932006708,0.0236621699147161,0.2908934889200213,0.022537239211226,0.2912046466491597,0.0236545520616343,0.3791097459460473,0.0305602976059337,0.3790324803715702,0.0289727209948973,0.3793106927604769,0.0303304224192543,1.7725590016597894,0.380880429287269,2.6287332371691017,0.2331535098779042,2.625202934254987,0.2546707180637211,2.2374861191903017,0.462584992620173,3.2871257399153704,0.2528502762705656,3.312613275465279,0.3173910902931786,1669122854.096981,1669124500.459753,random
221122-131414-0947-poor-dump,0.0002942727176209,0.0278255940220712,0.08,0.0009317140691367,0.0909238225994712,0.272189349112426,96,0.4292689458740793,0.0109798173023941,0.4295956429539494,0.0155730355060295,0.4290563012409266,0.0136267291641426,0.5581677162215837,0.0143971294593212,0.5583860644505061,0.0207799844043155,0.5577055879696353,0.0175093953010835,2.228045281880565,0.2425060514867732,2.9392876695936527,0.2096759818997529,2.960758303412603,0.2037238149953681,2.8443505358544625,0.2983129300900831,3.707122401164868,0.2572595832229162,3.7394609636803,0.2185806421312996,1669122854.096972,1669125087.611076,random
221122-131414-0954-same-city,0.0048696752516586,1.6681005372000591e-06,0.42,0.0006181900972203,0.0811130830789687,0.3461538461538461,40,0.2712772005969719,0.0188146821023339,0.2714721697558503,0.0197219986089458,0.2716029400640078,0.0175565154852249,0.3540822947763004,0.0238432758364149,0.354264029258595,0.024863431806776,0.3541717532372067,0.0220563897770518,2.182942650981606,0.1510307279767508,2.73958699097808,0.2242841683000962,2.789443543912649,0.1902871646643832,2.761735357478889,0.1873859218606594,3.453442413429966,0.2941807542983922,3.5097676704895817,0.2386249161661195,1669122854.097567,1669124725.371163,random
221122-131420-6674-tame-bank,0.0003651741272548,7.742636826811277e-06,0.24,0.0008320221709323,3.935875227966554e-06,0.4615384615384615,51,0.3307197867918537,0.0121022728111305,0.3320555575448418,0.0113808176588232,0.3306530956840244,0.01443126339036,0.4309556346399107,0.0160768674129784,0.4320637575263116,0.0158762726291624,0.4305577871338452,0.0193662454423322,2.4838822640828093,0.4433248301425188,2.92747216199279,0.4934503762578595,2.8905372467427286,0.3779916619099898,3.1299240564828903,0.5107890876970052,3.6945907498439423,0.574817860865893,3.675850083241035,0.4465323949624374,1669122860.668895,1669125176.842788,random
221122-131420-6675-oval-fish,0.0014855080171727,0.0197831888278416,0.344,0.0007222710471031,0.0007516801086146,0.4674556213017751,391,0.4490416395652114,0.0138579249537068,0.449220867383833,0.0152418866169369,0.4491252940742271,0.0156863629827167,0.5837823804673892,0.0194704983322569,0.5838494042351741,0.0195836859943801,0.5842024806689178,0.0210420669744154,2.4872123340020846,0.6256446396432124,3.254264174077006,0.5859485496904617,3.27144421224831,0.6614717237532215,3.102451924790769,0.7819010841463132,4.079816579375112,0.6594406283181757,4.087125809637982,0.7590058336637777,1669122860.668634,1669125005.976252,random
221122-131420-6745-neat-tank,0.0006264335366568,0.0025550970903525,0.424,0.0009584502877408,4.9455531777176135e-06,0.3136094674556213,286,0.4395856938565878,0.020802522366836,0.4397944879770988,0.0187312092248621,0.4400254595357147,0.0260052674508052,0.5794464009360321,0.0323967889152085,0.5801719835727159,0.0296518933306027,0.5802454969622005,0.0394381248268609,1.983784344183583,0.4383272751494114,2.8004320567061347,0.360264989132226,2.786232480728029,0.2970747886878744,2.522911812402421,0.5603499162377008,3.5385946007168654,0.4149751018606218,3.5549720387846064,0.3774656837938723,1669122860.67602,1669124763.072339,random
221122-141313-9160-icky-burn,0.0523299114681494,0.1291549665014882,0.38,0.0006359295154878,4.411924777324522e-06,0.3875739644970414,121,0.4496705626624616,0.0223944581071381,0.4507900244754166,0.0223138598856086,0.4501537598864359,0.0250477088019632,0.5854994499322532,0.0317487538063286,0.5860409207422002,0.0308153151767788,0.585826302158321,0.0356154646655591,2.419189286953182,0.5279739434780518,3.0389850128116014,0.4118226497161044,3.069400289514115,0.3930651960147405,3.0350472966865447,0.649447586575738,3.8471719844905152,0.5327369098658234,3.885660809744399,0.4768694500706591,1669126393.917373,1669127924.986352,random
221122-141313-9175-puny-drop,0.0001240937760751,0.0035938136638046,0.16,0.0006269970725647,0.0005982180380106,0.1183431952662722,70,0.3485960848519235,0.0092408476551043,0.3495021680420516,0.0088829318013079,0.3493779868924606,0.0090698593691743,0.4514287169390445,0.0123932341629014,0.4525856608974199,0.0117282828515166,0.4519146519794453,0.011095248660175,2.157471036895484,0.2680097703112388,2.9460510488495824,0.262326921565808,2.9648687364828343,0.2328114307980229,2.760127749647812,0.3047185322548464,3.716237132646461,0.2704720218433829,3.743169701948444,0.2928505902250996,1669126393.918174,1669128229.972174,random
221122-141313-9258-that-loan,0.0001113973859994,0.0550478980785496,0.224,0.0007862506580094,0.3578648210012845,0.2366863905325444,245,0.4596523234577857,0.0132701107500554,0.4601754131789812,0.0160801282568291,0.4595744756265144,0.0127038508554387,0.5995649869787096,0.0183190418511206,0.6000540474414893,0.021501272705817,0.5993753733006029,0.0173765615914252,2.669044446453118,0.3903345980531993,3.2496106262459987,0.2943854519894109,3.2523758147098976,0.3683317315955412,3.360889902074443,0.4386455384314261,4.081207314697729,0.312470563784637,4.05724765376457,0.4286406791269329,1669126393.926679,1669128055.954351,random
221122-141313-9566-lean-park,0.0805842187761481,0.0005504789807854,0.124,0.0007121258270022,0.1019211846263017,0.1982248520710059,226,0.6658603347128758,0.1361687977821139,0.6655709544412248,0.1415509973713458,0.6696310760617055,0.1399607517198197,0.8640454983729982,0.1606149269695255,0.8639307287529153,0.1689101405969086,0.8668544658562514,0.1656386417416083,14.603980884305122,14.039594660957697,14.956318382967972,14.192632327562954,15.084388084742733,13.977829004701936,17.12713409817284,15.42914284496692,17.334972076793427,15.546341009742134,17.692802883045722,15.537603720952644,1669126393.957387,1669127881.605499,random
221122-141323-1370-lazy-rain,0.0001715437896342,0.0009182542835656,0.064,0.0008804582684553,0.0092670637100897,0.0473372781065088,457,0.4350914906780422,0.0245628605828817,0.436013198528752,0.0278086506668622,0.4362322236990164,0.0255125774895436,0.5678456442051735,0.033717904787301,0.5684230010896199,0.0373655625957753,0.5691962746157146,0.0359630143971516,1.959168164302671,0.7183534291078166,2.9866508232816944,0.4425118873137279,2.9976488501100635,0.5160658166902691,2.482836366347021,0.886797648398406,3.7905980203214673,0.5822969384561344,3.77818057072045,0.7088712339790602,1669126403.138102,1669128386.750679,random
221122-141323-1372-keen-back,0.0001715437896342,0.0009182542835656,0.064,0.0008804582684553,0.0092670637100897,0.0473372781065088,457,0.437884506327973,0.0318968813511881,0.4384711629031816,0.0311555449661688,0.4388404600670191,0.0359318481322574,0.5737038816411217,0.0435962867790949,0.5744991414494688,0.0448826404854335,0.5750762627468567,0.0498518919492799,1.8564569098671928,0.463027064747377,2.831343225233828,0.2464357718219364,2.8703241552122094,0.2273473449491126,2.372409081317128,0.553673026626706,3.59004221154208,0.2976527966206725,3.621554132791133,0.3134234577856425,1669126403.138378,1669128457.295212,random
221122-141323-1381-idle-boss,0.0128639694493697,3.300034791125282e-06,0.084,0.0007325607999354,5.543724670769399e-06,0.2396449704142011,676,0.3753827869532541,0.0681590571696024,0.3757593635154136,0.068519265712604,0.3760102883566171,0.0681964969194859,0.5105449819401356,0.0871829840859823,0.5049804808919524,0.0880050191462139,0.504608724860105,0.0863308055889636,2.6336463039911235,1.3944793046401505,3.91891255978747,1.0477227372903264,3.967725091638709,1.1944264869618944,3.134380348598918,1.322999538100608,4.889126193026395,1.0480429782120413,4.955129682130621,1.2473651364474472,1669126403.138948,1669128237.863057,random
