id,config.kwargs.lr,config.kwargs.weight_decay,config.kwargs.dropout,config.kwargs.hidden_size,config.kwargs.n_layers,config.kwargs.activation,config.kwargs.structures_per_batch,results.local.mae.train.mean,results.local.mae.train.std,results.local.mae.val.mean,results.local.mae.val.std,results.local.mae.test.mean,results.local.mae.test.std,results.local.rmse.train.mean,results.local.rmse.train.std,results.local.rmse.val.mean,results.local.rmse.val.std,results.local.rmse.test.mean,results.local.rmse.test.std,results.structure.mae.train.mean,results.structure.mae.train.std,results.structure.mae.val.mean,results.structure.mae.val.std,results.structure.mae.test.mean,results.structure.mae.test.std,results.structure.rmse.train.mean,results.structure.rmse.train.std,results.structure.rmse.val.mean,results.structure.rmse.val.std,results.structure.rmse.test.mean,results.structure.rmse.test.std,metadata._time.start,metadata._time.end,metadata.search-mode
221025-141631-3021-huge-gift,0.000191095297497,2.782559402207126e-06,0.36,73,2,,,0.4750971252884025,0.0179645077946273,0.4751340239662963,0.0153212497636555,0.4749749029765032,0.0134327493333468,0.6219610918161893,0.0249255611620408,0.6220594201190124,0.0201231822088558,0.6220177944403086,0.017931854166669,2.102423275831308,0.2446883926190818,2.806548649230069,0.2967478952621373,2.8285039208648004,0.3005012061361345,2.675648376432942,0.3095994132103319,3.528919904310696,0.3593699837336386,3.552238405270852,0.3936787380060164,1666703791.61717,1666706217.410807,random
221025-141631-3026-cute-back,0.0003278121151393,2.555097090352507e-05,0.324,164,2,,,0.5344635995965826,0.012382831414397,0.5344038763624742,0.0169256529203536,0.534933887907444,0.0170236713766946,0.7016810543224025,0.0162999265991218,0.7014339357508856,0.0205051321484002,0.7021314502037459,0.0242498316819319,1.650607062252434,0.3228622112483933,2.61504503758777,0.3493719389004529,2.651753398178593,0.3552514326201169,2.120838707152811,0.4124657891563546,3.317674368632169,0.4405972861282554,3.3807636719188627,0.4977743709071373,1666703791.617372,1666705635.092555,random
221025-141632-6618-aged-deal,0.0002246790091812,1.765686433839502e-06,0.072,339,5,,,0.5216273367164617,0.0080037518175633,0.5221631188058307,0.0074953917278722,0.5210221189029038,0.0132206535354744,0.6860891015883721,0.012460396089457,0.6864332366605398,0.010469979120726,0.6856330975010477,0.0182401728396163,1.2579406684792866,0.1710362869897198,2.6254028513579506,0.189188796163335,2.5634850526051456,0.0682952942098324,1.628757402488502,0.2028297688828598,3.341283634299086,0.2154626136412223,3.275582384813569,0.1075902763053931,1666703792.952593,1666705360.833919,random
221025-141632-7298-male-star,0.0002287573200318,0.0006528521141127,0.328,19,3,,,0.4573028317099442,0.0130802404033467,0.4575724863923024,0.0191003741811035,0.4574460423971228,0.0142844297808207,0.6029654987832037,0.0177150830429762,0.603282471955354,0.0262981547773174,0.6035617972660325,0.0198070408519327,3.058619206822293,0.1995769329451847,3.3955272751253625,0.416406751745157,3.4632938383521754,0.2612539192443368,3.789251423722813,0.2231515545480602,4.216949200324026,0.4539505790466733,4.310192636708532,0.3541548018802042,1666703792.952523,1666705361.822932,random
221025-141659-7744-aged-mind,0.0001197085030495,0.0009182542835656,0.064,179,3,,,0.5377868656373332,0.0163136604488818,0.537601202177714,0.0177567475744062,0.5382000228779575,0.0174298354643243,0.7010171147256175,0.0235882731040712,0.700485532243576,0.0244208422829553,0.7007538708569652,0.0260539272337603,1.300678307620854,0.378507467954482,2.629206316678384,0.2400574080135341,2.768076982161282,0.3465474017510359,1.659948966478355,0.4489137650700051,3.326093567874744,0.3185162942221594,3.4190056854154585,0.3628824195729466,1666703819.821533,1666706454.052696,random
221025-141700-3656-spry-read,0.0001197085030495,0.0009182542835656,0.064,179,3,,,0.5430228787971197,0.016149750804933,0.5438497688676763,0.0176699022514056,0.5437698013741377,0.0205048084447397,0.7092544001312708,0.0214057171826647,0.7094694474797946,0.0234389535809629,0.7096226512068298,0.0267580923321886,1.1991162324596882,0.1847494626530287,2.592438060207673,0.1760107955742892,2.6909366049896493,0.1588385639481565,1.5528723165175575,0.2457504430414279,3.287880556896292,0.180005715090322,3.3771104284426365,0.1944428552561185,1666703820.375359,1666706350.28577,random
221025-141700-3871-cold-high,0.0004067944321083,6.528521141127848e-06,0.228,10,3,,,0.4532942917041136,0.0204052834837756,0.453327316203115,0.0221648096967588,0.4536254830610814,0.0201167412919405,0.597079215950816,0.0274360363901418,0.5967652147007242,0.0307821818036083,0.5969937636440443,0.0269680237054447,2.865263525827679,0.2416187952622712,3.3005649259410896,0.3571390988512492,3.312123774758125,0.2541389917280134,3.570132091129496,0.2754286390509671,4.083714444446644,0.4224031834572413,4.145534037385185,0.3627786403934406,1666703820.522266,1666705365.054903,random
221025-141700-3875-fake-keep,0.0001,1e-06,0.0,5,1,,,0.4895174966721763,0.0485228075799476,0.4897396242270173,0.0503765901400395,0.4892549070039327,0.0485340458147271,0.6420570254453389,0.0664002272777412,0.6407549188514613,0.069784612536025,0.6414652579998553,0.0682973114516961,2.6768536945036536,0.2674198565545403,3.3605139730604785,0.3524421952841181,3.368301834205499,0.3232069488106556,3.395926376437784,0.3300606453339265,4.208078873667727,0.4170857442566776,4.2165865803952425,0.4118416120757208,1666703820.522236,1666708374.027284,random
221025-141703-2631-same-boat,0.0001684854879435,0.017656864338395,0.272,16,5,,,0.4626598066794004,0.0184332877747349,0.4629576163683551,0.024822736357263,0.4625042046935306,0.0203975416310909,0.6097536931891028,0.0240818572864624,0.6102773604931034,0.0329018697816055,0.6096850473241978,0.0266571827611493,3.812489066681079,0.3378419501033777,4.110992148769971,0.4881719852316939,4.14270532044714,0.501609052743238,4.632291707488847,0.3827496195803531,5.014530866635577,0.5635208179880603,5.047276244423556,0.5776890657940421,1666703823.3656,1666705255.217851,random
221025-141703-4130-lean-love,0.0001240937760751,5.994842503189409e-05,0.48,43,2,,,0.4595009759373142,0.0250421659445647,0.4598201109322457,0.0257588706243052,0.4595370435638602,0.0218389090155751,0.6042653483138497,0.0337002938292377,0.6044810467982085,0.0348191595780928,0.6044069837162871,0.0287643199468883,2.673715592503821,0.2144308652309144,3.094208673366029,0.4146472786076363,3.127414989918301,0.3093955766562203,3.3721313895653062,0.2554553727842373,3.872997762938604,0.4569100627816471,3.9153548942973977,0.402535962744199,1666703823.425855,1666706653.441873,random
