id,config.fold,config.n_max,config.l_max,config.n_train,config.hidden_size,config.n_layers,config.dropout,config.pre_dropout,config.activation,config.optimizer,config.weight_decay,config.lr,config.structures_per_batch,config.pre_structures_per_batch,config.pre_lr,config.pre_weight_decay,config.pre_epochs,results.pretrain.local.mae.train,results.pretrain.local.mae.val,results.pretrain.local.mae.test,results.pretrain.local.rmse.train,results.pretrain.local.rmse.val,results.pretrain.local.rmse.test,results.pretrain.structure.mae.train,results.pretrain.structure.mae.val,results.pretrain.structure.mae.test,results.pretrain.structure.rmse.train,results.pretrain.structure.rmse.val,results.pretrain.structure.rmse.test,results.fine_tune.local.mae.train,results.fine_tune.local.mae.val,results.fine_tune.local.mae.test,results.fine_tune.local.rmse.train,results.fine_tune.local.rmse.val,results.fine_tune.local.rmse.test,results.fine_tune.structure.mae.train,results.fine_tune.structure.mae.val,results.fine_tune.structure.mae.test,results.fine_tune.structure.rmse.train,results.fine_tune.structure.rmse.val,results.fine_tune.structure.rmse.test,metadata._time.start,metadata._time.end,metadata.search-mode
221026-075617-4810-free-pair,0,8,8,-1,25,2,0.0899653979238754,0.08,CELU,AdamW,0.0018461721249909,0.0008866559335147,400,400,0.0002942727176209,0.0278255940220712,79,0.2188683657730401,0.2131384402377027,0.2203420378552636,0.3012980413955062,0.2891637367522833,0.3062082239306574,5.168271537423557,5.000860716595346,5.411824708082383,7.0848631283851,6.665909051904748,7.296194806062783,0.3614361410573686,0.3558758268382628,0.3557733459236647,0.4727842132638424,0.4635899610280468,0.4644355380458665,2.0961220705344124,3.2856043992334643,2.7089978917931727,2.627877941121944,4.167395481834056,3.473790814975446,1666767377.482,1666767529.211654,random
221026-075617-4937-wide-edge,0,8,8,-1,539,2,0.4705882352941176,0.16,CELU,AdamW,2.630984825163553e-05,0.0006891117764124,400,400,0.0001240937760751,0.0035938136638046,21,0.2645624549412509,0.2591117291344652,0.2670877147163074,0.3546394082099331,0.3425395133660744,0.3606341047641033,6.564899174037444,6.161756214754601,7.0713497739037,9.203812294877508,8.290733377367854,9.7680839753814,0.5456665067177121,0.529116169493479,0.5397389881072929,0.7222328343323222,0.6978024159718946,0.711020313445676,1.7188445287102962,2.891382204496141,2.4742096253547152,2.207111304028936,3.829938463122841,3.192322047238981,1666767377.494236,1666767533.307594,random
221026-075658-6143-cute-salt,0,8,8,-1,850,4,0.273356401384083,0.472,CELU,AdamW,4.296710515023028e-05,0.0007639606567896,400,400,0.002689598785575,0.000819559043497,36,0.2818955697418537,0.2730445888506989,0.281496868544376,0.3779923419641943,0.3608211745135653,0.3798374432754591,5.1126550066196055,4.911678204552814,4.879555041886501,6.925730693266948,6.4414722467865095,6.662050793577993,0.4399140025473532,0.428839930919962,0.4352462936222963,0.5806027921675704,0.5610850311787287,0.5716469056155635,1.5722900776342037,2.9037417364103177,2.6794383320334725,1.96152554658368,3.663350410854095,3.432889731529263,1666767418.615075,1666767635.579402,random
221026-075658-6145-numb-foot,0,8,8,-1,850,4,0.273356401384083,0.472,CELU,AdamW,4.296710515023028e-05,0.0007639606567896,400,400,0.002689598785575,0.000819559043497,36,0.295763813052992,0.2875167916755756,0.296051876774964,0.3944666454115624,0.3790565858632922,0.3980437961031707,5.649289308094107,5.332547477165417,5.342308464978208,7.552482560704161,6.963260241646388,7.324271914393952,0.4584163402605894,0.4476294673329182,0.4543140280173091,0.6004947838180623,0.5835081767741641,0.5934330502410254,2.1443794767142443,3.210623323407432,2.934838774820307,2.5894789498130053,3.975314989457377,3.741213772723934,1666767418.615251,1666767642.147789,random
221026-075658-6150-fine-week,0,8,8,-1,291,2,0.3823529411764705,0.3399999999999999,CELU,AdamW,1.085182942288268e-06,0.0005704145331326,400,400,0.0115478198468945,0.0007742636826811,75,0.1913036456715597,0.187549581501085,0.1919423022078172,0.2631142419429707,0.2528463110779824,0.2680843546716683,3.880500187220808,4.022897446379201,3.938514276207972,5.127860316100208,5.103591570986461,5.122003160027886,0.395421105088294,0.3830385760975268,0.3887505317812925,0.5218244657748874,0.5012624123193401,0.5132037263657406,1.3693375435551578,2.793504418196969,2.6168479234080344,1.7283359294486142,3.634464052827288,3.19877632277647,1666767418.615661,1666767588.454661,random
221026-075658-6172-pure-dump,0,8,8,-1,31,3,0.1799307958477508,0.064,CELU,AdamW,3.698684925501921e-06,0.0007906751700284,400,400,0.0001715437896342,0.0009182542835656,66,0.2720197804354584,0.2655428382759671,0.2718255466026226,0.3706246116735223,0.3562970203551684,0.3743817455866947,6.34979974305696,6.046888612466655,6.751403664219891,8.965969607564878,8.107552058430247,9.285406678729602,0.3526358163240216,0.3474320137120709,0.3486584913336318,0.4597931677725411,0.4519597930207734,0.4533451940449958,2.855783489988149,3.7962194112747,2.93201904424598,3.555940153528773,4.9835689941842105,3.8356174934125216,1666767418.617793,1666767580.045859,random
221026-075658-6174-same-fail,0,8,8,-1,38,3,0.2698961937716263,0.048,CELU,AdamW,0.0068284090085858,0.0007050843521921,400,400,0.0005048065716667,3.030271082866393e-05,39,0.2161326221256015,0.2104365999744768,0.2165714884815522,0.2978198727183071,0.286266948267932,0.3021801413330627,5.004996032931447,5.150598740209155,5.22018188672503,6.764115560750789,6.735175395398754,6.8986069752795744,0.3609461312132151,0.354799175335623,0.3548248592988966,0.4740727098038415,0.4663983406838266,0.4657777990927022,3.716607801029203,4.459658587037711,3.705843852304023,4.518089536422188,5.533545265030097,4.594892477160972,1666767418.618008,1666767540.481713,random
221026-075658-6179-late-crew,0,8,8,-1,104,2,0.2352941176470588,0.32,CELU,AdamW,0.0049238826317067,0.0008277532798848,400,400,0.0001539926526059,0.2154434690031882,15,0.4834588584824502,0.4722334308316568,0.478535336772851,0.6346508048930841,0.6165663220163617,0.6321771336846015,13.892341889049288,12.287647318974248,13.903058071143606,17.437893436353157,15.457308166984529,17.605992926460573,0.499465490371235,0.48607780372334,0.4942126853127171,0.6557554997341951,0.636460287234148,0.6467350643733658,1.668112466433204,2.991347876471868,2.504994607413494,2.121819316639835,3.8689761706470542,3.279740692185477,1666767418.618544,1666767636.176911,random
221026-075658-6253-free-fold,0,8,8,-1,444,3,0.0034602076124567,0.424,CELU,AdamW,0.0057984726022949,0.0005417512489211,400,400,0.0006264335366568,0.0025550970903525,87,0.138690258044114,0.1363991087027016,0.1380091044339165,0.1915704636046592,0.1866429512813382,0.1931638211581974,3.2089768258459084,3.659532846661079,3.322135077590743,4.224117104239631,4.546193692412918,4.324050292206212,0.3479857431923637,0.3451800007033848,0.3469752628386697,0.4550232990653514,0.4509579021243464,0.4532774479669499,1.4464965862957129,2.80363260448826,2.788030779151053,1.9162281019938552,3.665188147284345,3.51125170327148,1666767418.626326,1666767583.013328,random
221026-075658-6282-oval-boat,0,8,8,-1,551,3,0.0934256055363321,0.408,CELU,AdamW,1.161686005044064e-05,0.0009606939186899,400,400,0.0018434229924091,1.4065272421052364e-06,52,0.1672714582991033,0.1639113678856609,0.1671604836015073,0.2321109443369985,0.2249281077799453,0.2348423909443695,3.766623651086538,4.185193400456228,3.7941673796543953,4.898953073833167,5.193517942031673,4.897496189925342,0.4307429663644899,0.4187997775737883,0.426983974953301,0.5649699391352567,0.5477826858940507,0.5577263831468995,0.8897786427004056,2.3195292805199013,2.5539417750192923,1.1348148350260243,3.0205246858079606,3.20541330663767,1666767418.629179,1666767701.822324,random
